assists,blocked,evenTimeOnIce,evenTimeOnIcePerGame,faceOffPct,gameWinningGoals,games,goals,hits,overTimeGoals,penaltyMinutes,pim,plusMinus,points,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,powerPlayTimeOnIcePerGame,shifts,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,shortHandedTimeOnIcePerGame,shotPct,shots,timeOnIce,timeOnIcePerGame,age,season,id
20,33,1028:47,12:32,48.14,2,82,18,70,0,53,53,-4,38,3,8,169:43,02:04,1677,1,2,96:07,01:10,11.3,159,1294:37,15:47,23.0,20092010,8471218
26,29,1085:36,13:14,52.49,5,82,15,62,1,26,26,-12,41,4,7,116:10,01:25,1719,0,2,96:31,01:10,11.9,126,1298:17,15:49,31.0,20182019,8473412
27,33,1124:57,13:43,56.04,2,82,16,50,1,28,28,2,43,2,12,178:44,02:10,1887,0,0,84:53,01:02,12.4,129,1388:34,16:56,30.0,20172018,8473412
26,23,835:52,14:10,55.6,3,59,21,35,1,18,18,-7,47,6,12,132:25,02:14,1455,0,0,67:35,01:08,17.6,119,1035:52,17:33,29.0,20162017,8473412
25,22,833:17,14:37,51.29,2,57,17,48,0,12,12,-13,42,2,12,167:46,02:56,1500,2,2,115:57,02:02,13.4,127,1117:00,19:35,28.0,20152016,8473412
28,32,1027:28,14:40,49.13,3,70,24,56,1,24,24,8,52,9,18,224:18,03:12,1873,1,1,142:36,02:02,16.2,148,1394:22,19:55,27.0,20142015,8473412
41,38,1237:30,15:05,47.48,1,82,23,84,0,58,58,8,64,8,15,218:31,02:39,2141,2,4,184:17,02:14,13.5,170,1640:18,20:00,26.0,20132014,8473412
25,19,753:52,15:42,51.18,2,48,7,32,1,4,4,8,32,2,5,122:16,02:32,1178,0,1,74:13,01:32,8.3,84,950:21,19:47,25.0,20122013,8473412
22,13,1180:01,15:56,49.56,6,74,24,44,0,26,26,-11,46,6,13,204:20,02:45,1794,0,1,111:45,01:30,14.8,162,1496:06,20:13,24.0,20112012,8473412
30,31,1084:58,14:16,46.28,1,76,18,41,1,33,33,11,48,2,10,187:52,02:28,1910,2,3,129:49,01:42,11.4,158,1402:39,18:27,23.0,20102011,8473412
21,18,1006:59,12:44,44.15,1,79,13,45,0,20,20,-6,34,3,6,234:28,02:58,1374,0,0,02:48,00:02,7.9,165,1244:15,15:45,22.0,20092010,8473412
8,55,869:01,13:10,54.9,3,66,19,63,0,22,22,6,27,0,0,16:37,00:15,1549,3,6,168:02,02:32,14.8,128,1053:40,15:57,34.0,20182019,8470755
12,52,957:15,12:35,52.06,0,76,3,72,0,45,45,-24,15,0,0,07:02,00:05,1700,0,0,158:00,02:04,2.9,105,1122:17,14:46,33.0,20172018,8470755
4,7,210:07,13:07,52.6,0,16,5,19,0,15,15,-1,9,0,0,03:01,00:11,339,2,3,32:24,02:01,20.0,25,245:32,15:20,32.0,20162017,8470755
20,53,1119:44,13:39,54.42,3,82,11,57,0,46,46,8,31,0,0,24:00,00:17,1742,0,0,137:14,01:40,9.4,117,1280:58,15:37,31.0,20152016,8470755
13,20,556:47,12:22,47.75,1,45,8,58,0,34,34,0,21,0,1,06:09,00:08,969,1,1,88:17,01:57,12.1,66,651:13,14:28,30.0,20142015,8470755
12,52,928:07,12:42,55.17,2,73,11,63,1,39,39,1,23,1,1,10:06,00:08,1550,2,3,149:35,02:02,12.9,85,1087:48,14:54,29.0,20132014,8470755
5,3,165:16,10:19,48.21,0,16,1,22,0,10,10,2,6,0,0,03:36,00:13,248,0,0,05:31,00:20,3.7,27,174:23,10:53,28.0,20122013,8470755
3,15,699:28,11:51,58.92,0,59,5,65,0,30,30,-6,8,0,0,14:02,00:14,1006,1,1,45:17,00:46,5.1,98,758:47,12:51,27.0,20112012,8470755
12,11,730:33,10:44,50.82,1,68,7,84,0,47,47,-13,19,0,0,03:57,00:03,1145,1,1,65:08,00:57,6.8,103,799:38,11:45,26.0,20102011,8470755
16,17,917:42,11:19,48.08,4,81,11,125,0,37,37,1,27,0,0,08:44,00:06,1503,1,2,114:17,01:24,7.4,148,1040:43,12:50,25.0,20092010,8470755
24,154,1322:48,17:24,100.0,0,76,3,79,0,16,16,-7,27,1,7,140:20,01:50,1878,0,2,118:57,01:33,2.9,102,1582:05,20:49,33.0,20182019,8471274
23,154,1515:06,19:25,0.0,3,78,12,114,1,26,26,-31,35,3,11,150:48,01:56,2225,0,0,149:44,01:55,10.1,119,1815:38,23:16,32.0,20172018,8471274
30,143,1532:32,18:41,0.0,0,82,6,137,0,28,28,-9,36,1,8,178:26,02:10,2356,1,2,202:02,02:27,5.4,112,1913:00,23:19,31.0,20162017,8471274
32,159,1602:15,19:32,0.0,1,82,5,100,0,34,34,21,37,1,5,160:33,01:57,2416,0,1,191:34,02:20,3.9,127,1954:22,23:50,30.0,20152016,8471274
32,157,1520:35,18:46,0.0,0,81,4,100,0,24,24,0,36,0,8,169:27,02:05,2487,0,2,238:41,02:56,3.3,122,1928:43,23:48,29.0,20142015,8471274
36,154,1501:03,18:31,0.0,0,81,6,94,0,28,28,9,42,3,15,267:57,03:18,2282,0,0,200:23,02:28,4.3,141,1969:23,24:18,28.0,20132014,8471274
24,66,848:38,18:03,0.0,0,47,3,56,0,18,18,4,27,0,11,135:46,02:53,1273,0,1,67:43,01:26,3.8,80,1052:07,22:23,27.0,20122013,8471274
21,93,1302:04,18:20,0.0,1,71,9,49,0,16,16,0,30,2,9,223:45,03:09,1869,0,1,90:57,01:16,6.4,140,1616:46,22:46,26.0,20112012,8471274
32,106,1401:48,16:53,0.0,4,83,14,75,1,40,40,20,46,7,24,332:43,04:00,2052,0,0,111:02,01:20,8.6,162,1845:33,22:14,25.0,20102011,8471274
29,93,1112:54,16:07,0.0,0,69,8,50,0,22,22,7,37,2,17,260:38,03:46,1656,0,0,104:44,01:31,8.2,98,1478:16,21:25,24.0,20092010,8471274
29,15,748:21,14:58,54.66,2,50,13,35,0,30,30,14,42,1,4,102:05,02:02,1006,1,2,54:46,01:05,12.6,103,905:12,18:06,33.0,20182019,8471669
37,38,1203:42,14:40,54.91,3,82,16,43,0,18,18,1,53,3,9,216:12,02:38,1905,0,1,81:05,00:59,10.1,159,1500:59,18:18,32.0,20172018,8471669
22,35,985:16,14:55,55.74,5,66,18,51,0,36,36,4,40,5,13,170:26,02:34,1747,0,0,107:31,01:37,16.1,112,1263:13,19:08,31.0,20162017,8471669
39,40,986:06,15:24,56.06,2,64,10,32,0,26,26,3,49,2,14,150:18,02:20,1714,0,0,89:18,01:23,9.7,103,1225:42,19:09,30.0,20152016,8471669
30,30,1061:58,14:21,57.94,7,74,16,22,0,40,40,5,46,7,15,174:37,02:21,1802,0,0,67:51,00:55,11.2,143,1304:26,17:37,29.0,20142015,8471669
35,46,1093:56,15:24,54.13,4,71,25,54,1,22,22,9,60,4,15,168:33,02:22,1603,0,1,43:22,00:36,16.7,150,1305:51,18:23,28.0,20132014,8471669
15,29,582:05,14:33,52.36,1,40,9,21,0,14,14,-7,24,2,10,108:07,02:42,1021,0,0,84:04,02:06,10.3,87,774:16,19:21,27.0,20122013,8471669
32,49,1253:07,15:51,55.4,2,79,21,40,0,34,34,-8,53,7,19,185:54,02:21,1889,0,0,48:44,00:37,11.1,190,1487:45,18:49,26.0,20112012,8471669
35,31,1157:37,15:38,53.15,3,74,22,74,1,56,56,-7,57,4,19,226:19,03:03,1829,1,1,76:33,01:02,12.2,181,1460:29,19:44,25.0,20102011,8471669
59,53,1295:14,15:59,49.97,2,81,20,42,0,50,50,2,79,9,25,306:28,03:47,2204,0,0,131:16,01:37,10.1,199,1732:58,21:23,24.0,20092010,8471669
